FSB 41	DME 060	Ur III	Nufar-Nippur	6N-T 46	NBC 10574	YOS 11 81	4.5x7.5x2.0	gegen Ala und Udug-ḫul und Igi-ḫul-Dämonen	Van Dijk 1985, 48. – Cunningham 1997, 89.
FSB 42	TMH 6, S. 16	FD IIIb (?)	Herkunft unbekannt	-	Privatkollektion	-	-	gegen eine Schlange und einen Scorpion	Van Dijk/Geller 2003, 16.
FSB 43	TMH 6, 0022	Ur III	Nufar-Nippur	-	HS 1464 Vs. 02.03- Rs. 03.02	TMH 6, 110 / TMH 6, 147 / http://www.cdli.ucla.edu/dl/photo/P273888	12.0x7.0x2.5	gegen eine Schlange und einen Skorpion	Van Dijk/Geller 2003, 14-18.
FSB 44	DME 058	Ur III	Nufar-Nippur	-	CBS 8230	PBS 1/2 131 / NATN Pl. II (nur die Vorderseite); http://www.cdli.ucla.edu/dl/photo/P263102.	-	gegen eine Schlange	Van Dijk 1969, 539-547
FSB 45	DME 063	Ur III	Drēhim – Puzriš-Dagan	-	Ist D -	Trouvaille 1	-	gegen eine Schlange	Conti 1997, 268-269
FSB 46	DME 066	Ur III	Herkunft unbekannt	-	VAT 5993	VS 10 193 / http://www.cdli.ucla.edu/dl/photo/P142047.	-	gegen eine Schlage (erwähnt sind auch ein Skorpion und ein Hund)	Veldhuis 1993, 161-169. — Römer 1995, 413-423
FSB 47	TMH 6, 016	Ur III	Nufar-Nippur	-	HS 1497	TMH 6, 114 / TMH 6, 154; http://www.cdli.ucla.edu/dl/photo/P273891.	9.0x5.0x2.5	gegen einen Skorpion (?)	Van Dijk/Geller 2003, 57-59.
FSB 48	AMD I 246 Fig. 8	Ur III	Nufar-Nippur	5N-T 065	A 30606	AMD I 246 Fig. 8	-	gegen eine Schlange (?)	Finkel 1999, 231-232.
FSB 49	TMH 6, 012	Ur III	Nufar-Nippur	-	HS 1526	TMH 6, 123 / TMH 6, 151; http://www.cdli.ucla.edu/dl/photo/P273906.	8.5x6.7x1.6	gegen eine Schlange	Van Dijk/Geller 2003, 31-36
FSB 50	TMH 6, 004	Ur III	Nufar-Nippur	-	HS 1473 + 1598	TMH 6, 111 / TMH 6, 148; http://www.cdli.ucla.edu/dl/photo/P273901	10.5x4.8x1.8	gegen eine Schlange	Van Dijk/Geller 2003:20-25
FSB 51	ITT 2/1, 10361	Ur III	Tello — Girsu	-	L. 1036, 01.01-02.10	PIHANS 65, 295-296 / PIHANS 65, 282	Zylinder	gegen eine Schlange	Lafont/Yildiz 1989, 193-194
FSB 52	ITT 2/1, 10362	Ur III	Tello — Girsu	-	L. 1036, 02.11-03.03	PIHANS 65, 295-296 / PIHANS 65, 282	Zylinder	gegen eine Schlange	Lafont/Yildiz 1989, 193
FSB 53	ITT 2/1, 10363	Ur III	Tello — Girsu	-	L. 1036, 03.04-04.02	PIHANS 65, 295-296 / PIHANS 65, 282	Zylinder	gegen eine Schlange	Lafont/Yildiz 1989, 193
FSB 54	ITT 2/1, 10364	Ur III	Tello — Girsu	-	L. 1036, 04.03-05.04	PIHANS 65, 295-296 / PIHANS 65, 282	Zylinder	gegen eine Schlange	Lafont/Yildiz 1989, 193
